bytes,column_names,columns,feature_source,file,first_season,last_season,missing_cells,rows,sha256
2642667,"ID, Pred",2,False,SampleSubmissionStage2.csv,,,0,132133,53b79f12315ae43353899cf659bc89e027bedbde70929e213b6922a877b33ffc
178346,"Season, ConfAbbrev, DayNum, WTeamID, LTeamID",5,False,WConferenceTourneyGames.csv,2002.0,2026.0,0,6777,8acb5601145c278d96acc8975bcab4979b227d64f95bd196e42c6cba9b402409
2870464,"Season, DayNum, WTeamID, LTeamID, CRType, CityID",6,False,WGameCities.csv,2010.0,2026.0,0,89035,6ecab5867c2551e5b63b9fce8f88a743e142a6874475f04783de41bf9d6ededc
51613,"Season, DayNum, WTeamID, WScore, LTeamID, LScore, WLoc, NumOT",8,True,WNCAATourneyCompactResults.csv,1998.0,2025.0,0,1717,13c44b67f2d4ea2661ef59ab0be720b3f3feede5f1de8ee419a8a46f7d99a6a5
96291,"Season, DayNum, WTeamID, WScore, LTeamID, LScore, WLoc, NumOT, WFGM, WFGA, WFGM3, WFGA3, WFTM, WFTA, WOR, WDR, WAst, WTO, WStl, WBlk, WPF, LFGM, LFGA, LFGM3, LFGA3, LFTM, LFTA, LOR, LDR, LAst, LTO, LStl, LBlk, LPF",34,False,WNCAATourneyDetailedResults.csv,2010.0,2025.0,0,961,b0f609ad133d14e991cf8d036f5afc610b77ef168b63223404c352d9b9658c5f
27240,"Season, Seed, TeamID",3,True,WNCAATourneySeeds.csv,1998.0,2026.0,0,1812,fd80613514ac62ed63afcfc1ed0024c525ff02f4b43bd7a97ebccdb74a424ec6
36944,"Season, Slot, StrongSeed, WeakSeed",4,False,WNCAATourneySlots.csv,1998.0,2026.0,0,1847,e0cc399a1099465fc74b1c7d0d0475fb5249f307164f1a5a6e36ca536d6fe0d9
4170609,"Season, DayNum, WTeamID, WScore, LTeamID, LScore, WLoc, NumOT",8,True,WRegularSeasonCompactResults.csv,1998.0,2026.0,0,142507,ca8702630335ac5b8d00a5e5f09abc5aa10666b7584ac1db61b48784c77d4090
8674344,"Season, DayNum, WTeamID, WScore, LTeamID, LScore, WLoc, NumOT, WFGM, WFGA, WFGM3, WFGA3, WFTM, WFTA, WOR, WDR, WAst, WTO, WStl, WBlk, WPF, LFGM, LFGA, LFGM3, LFGA3, LFTM, LFTA, LOR, LDR, LAst, LTO, LStl, LBlk, LPF",34,True,WRegularSeasonDetailedResults.csv,2010.0,2026.0,0,87187,0c416b6e59da818ea7356913caa7be2641b465ae97014551c617e0ccbefe432f
1553,"Season, DayZero, RegionW, RegionX, RegionY, RegionZ",6,False,WSeasons.csv,1998.0,2026.0,0,29,35a640047fc1a6b071a3566779361f20267b3f96889333c94f31967a39b02181
31650,"Season, DayNum, WTeamID, WScore, LTeamID, LScore, WLoc, NumOT, SecondaryTourney",9,False,WSecondaryTourneyCompactResults.csv,2013.0,2025.0,0,906,7c84377237ca2afcc466664aacb101ce61b3e5426f63f0880c1a215552211792
14360,"Season, SecondaryTourney, TeamID",3,False,WSecondaryTourneyTeams.csv,2013.0,2025.0,0,904,0430fcffddf8d69946baeaddc17143aaf0a7c425f1a55625c98b9342b9d300ab
170101,"Season, TeamID, ConfAbbrev",3,False,WTeamConferences.csv,1998.0,2026.0,0,9853,be4d13c60f1c567de7bdb927c8801cc62e4d3ff3297d05ca15276b7c219c1805
22640,"TeamNameSpelling, TeamID",2,False,WTeamSpellings.csv,,,0,1171,670b9035831b5c080927d844c040579b04eafc6c9e249d2ca0b4bc21c158f631
6195,"TeamID, TeamName",2,False,WTeams.csv,,,0,379,2567f2c56791d5966f131f5dba8b5adaa2795d8a98c9dde89f545d91a409c88d
