Gender,Season,Slot,Round,TeamID,TeamName,ChampionshipProbability
M,2026,R6CH,6,1103,Akron,9.151870891813347e-05
M,2026,R6CH,6,1416,UCF,8.859210987529591e-05
M,2026,R6CH,6,1281,Missouri,7.910855785796424e-05
M,2026,R6CH,6,1395,TCU,7.427432343376939e-05
M,2026,R6CH,6,1270,McNeese St,3.402768716611828e-05
M,2026,R6CH,6,1400,Texas,1.8568962806738757e-05
M,2026,R6CH,6,1320,Northern Iowa,1.740353504269828e-05
M,2026,R6CH,6,1219,High Point,1.2981472532962432e-05
M,2026,R6CH,6,1220,Hofstra,5.258342959706222e-06
M,2026,R6CH,6,1275,Miami OH,1.1412494581337567e-06
M,2026,R6CH,6,1295,N Dakota St,7.054140459946244e-07
M,2026,R6CH,6,1407,Troy,4.3171130932702526e-07
M,2026,R6CH,6,1465,Cal Baptist,3.871958673914721e-07
M,2026,R6CH,6,1218,Hawaii,3.3385979173893384e-07
M,2026,R6CH,6,1335,Penn,1.5177503715103502e-07
M,2026,R6CH,6,1460,Wright St,1.159436997452142e-07
M,2026,R6CH,6,1244,Kennesaw,5.7673132500244866e-08
M,2026,R6CH,6,1202,Furman,3.192520968786067e-08
M,2026,R6CH,6,1398,Tennessee St,2.7550787983623298e-08
M,2026,R6CH,6,1474,Queens NC,2.5035223725645235e-08
M,2026,R6CH,6,1373,Siena,1.2562837852180276e-08
M,2026,R6CH,6,1225,Idaho,8.004299934154006e-09
M,2026,R6CH,6,1420,UMBC,1.8185866743186797e-09
M,2026,R6CH,6,1254,LIU Brooklyn,5.999651433884022e-10
M,2026,R6CH,6,1224,Howard,5.25590781929935e-10
M,2026,R6CH,6,1250,Lehigh,5.934534232396175e-11
M,2026,R6CH,6,1341,Prairie View,3.944934163378482e-12
W,2026,R6CH,6,3163,Connecticut,0.10455296759270578
W,2026,R6CH,6,3376,South Carolina,0.10455295247152911
W,2026,R6CH,6,3417,UCLA,0.10455295057737533
W,2026,R6CH,6,3400,Texas,0.10455295056441945
W,2026,R6CH,6,3261,LSU,0.06606497730668252
W,2026,R6CH,6,3276,Michigan,0.06606497627613438
W,2026,R6CH,6,3435,Vanderbilt,0.06606497487338792
W,2026,R6CH,6,3234,Iowa,0.06606497404353066
W,2026,R6CH,6,3395,TCU,0.038613944348456726
W,2026,R6CH,6,3257,Louisville,0.03861394249667193
W,2026,R6CH,6,3326,Ohio St,0.0386139399893893
W,2026,R6CH,6,3181,Duke,0.03861393957334111
W,2026,R6CH,6,3278,Minnesota,0.02068945567813547
W,2026,R6CH,6,3328,Oklahoma,0.020689454120828142
W,2026,R6CH,6,3452,West Virginia,0.02068945369139592
W,2026,R6CH,6,3314,North Carolina,0.020689453468578683
W,2026,R6CH,6,3246,Kentucky,0.01069796114700905
W,2026,R6CH,6,3279,Mississippi,0.010697960968746123
W,2026,R6CH,6,3277,Michigan St,0.010697960852575853
W,2026,R6CH,6,3268,Maryland,0.010697959780519026
W,2026,R6CH,6,3124,Baylor,0.005249238527896979
W,2026,R6CH,6,3104,Alabama,0.005249238217846827
W,2026,R6CH,6,3323,Notre Dame,0.005249237938193617
W,2026,R6CH,6,3449,Washington,0.0052492369957832
W,2026,R6CH,6,3403,Texas Tech,0.00240205338148785
W,2026,R6CH,6,3208,Georgia,0.0024020532160162877
W,2026,R6CH,6,3228,Illinois,0.0024020531912021786
W,2026,R6CH,6,3301,NC State,0.0024020531701842577
W,2026,R6CH,6,3332,Oregon,0.0010100227316459627
W,2026,R6CH,6,3155,Clemson,0.0010100225353196176
W,2026,R6CH,6,3329,Oklahoma St,0.0010100225342862458
W,2026,R6CH,6,3235,Iowa St,0.0010100220528042492
W,2026,R6CH,6,3343,Princeton,0.000428081000742535
W,2026,R6CH,6,3393,Syracuse,0.00042808077480744315
W,2026,R6CH,6,3439,Virginia Tech,0.00042808075301999874
W,2026,R6CH,6,3425,USC,0.00042808071894361927
W,2026,R6CH,6,3160,Colorado,0.0001782010184489101
W,2026,R6CH,6,3397,Tennessee,0.00017820093253169555
W,2026,R6CH,6,3437,Villanova,0.0001782008914598106
W,2026,R6CH,6,3113,Arizona St,8.910050929006005e-05
W,2026,R6CH,6,3438,Virginia,8.910043731200248e-05
W,2026,R6CH,6,3193,Fairfield,7.049957279435801e-05
W,2026,R6CH,6,3355,S Dakota St,7.049956329892251e-05
W,2026,R6CH,6,3348,Rhode Island,7.049956034108271e-05
W,2026,R6CH,6,3304,Nebraska,3.5249784101100184e-05
W,2026,R6CH,6,3350,Richmond,3.524978359389723e-05
W,2026,R6CH,6,3241,James Madison,2.6632019238204876e-05
W,2026,R6CH,6,3161,Colorado St,2.6632019112900924e-05
W,2026,R6CH,6,3211,Gonzaga,2.6632016262228287e-05
W,2026,R6CH,6,3293,Murray St,2.6632012638673797e-05
W,2026,R6CH,6,3275,Miami OH,1.0190657609237368e-05
W,2026,R6CH,6,3225,Idaho,1.0190657314444376e-05
W,2026,R6CH,6,3453,WI Green Bay,1.0190648021686903e-05
W,2026,R6CH,6,3442,W Illinois,1.0190646852043462e-05
W,2026,R6CH,6,3158,Col Charleston,3.887608877577414e-06
W,2026,R6CH,6,3224,Howard,3.887607505265123e-06
W,2026,R6CH,6,3471,UC San Diego,3.887601900741219e-06
W,2026,R6CH,6,3436,Vermont,3.887601869315689e-06
W,2026,R6CH,6,3221,Holy Cross,1.4181164893710426e-06
W,2026,R6CH,6,3239,Jacksonville,1.4181164279852372e-06
W,2026,R6CH,6,3219,High Point,1.4181164051022465e-06
W,2026,R6CH,6,3192,F Dickinson,1.4181163812413655e-06
W,2026,R6CH,6,3427,UT San Antonio,4.892052302915941e-07
W,2026,R6CH,6,3465,Cal Baptist,4.892051560002335e-07
W,2026,R6CH,6,3359,Samford,2.4460308984280423e-07
W,2026,R6CH,6,3372,SF Austin,2.446030709657233e-07
W,2026,R6CH,6,3283,Missouri St,2.4460306441154346e-07
W,2026,R6CH,6,3380,Southern Univ,2.4460271767935946e-07
