Season,system,published_teams,matchup_pair_coverage
2014,BKM,0,0.0
2014,BNM,0,0.0
2014,BOB,351,1.0
2014,BPI,0,0.0
2014,BRZ,0,0.0
2014,BUR,351,1.0
2014,CJB,351,1.0
2014,CNG,351,1.0
2014,COL,351,1.0
2014,CPR,351,1.0
2014,CRO,351,1.0
2014,DC,351,1.0
2014,DC2,0,0.0
2014,DCI,348,1.0
2014,DES,25,0.1791044776119403
2014,DOK,351,1.0
2014,DOL,351,1.0
2014,DUN,351,1.0
2014,DWH,0,0.0
2014,EBB,0,0.0
2014,EBP,351,1.0
2014,ECK,0,0.0
2014,ENT,0,0.0
2014,ERD,0,0.0
2014,GRN,0,0.0
2014,GRS,351,1.0
2014,HAT,0,0.0
2014,HER,0,0.0
2014,HKB,0,0.0
2014,HOL,0,0.0
2014,IMS,0,0.0
2014,ISR,0,0.0
2014,JCI,0,0.0
2014,JEN,0,0.0
2014,JON,0,0.0
2014,KEL,0,0.0
2014,KLK,0,0.0
2014,KMV,0,0.0
2014,KOS,0,0.0
2014,KPK,351,1.0
2014,KRA,351,1.0
2014,LMC,351,1.0
2014,LYD,0,0.0
2014,LYN,0,0.0
2014,MAS,351,1.0
2014,MB,0,0.0
2014,MGY,0,0.0
2014,MKV,0,0.0
2014,MOR,351,1.0
2014,MSX,351,1.0
2014,NOL,349,1.0
2014,NOR,0,0.0
2014,OMY,0,0.0
2014,PEQ,0,0.0
2014,PGH,351,1.0
2014,PIG,351,1.0
2014,PKL,0,0.0
2014,POM,351,1.0
2014,PTS,0,0.0
2014,REI,0,0.0
2014,REN,0,0.0
2014,REW,351,1.0
2014,RIS,0,0.0
2014,RM,0,0.0
2014,ROG,0,0.0
2014,ROH,0,0.0
2014,RPI,349,1.0
2014,RSE,0,0.0
2014,RT,351,1.0
2014,RTB,351,1.0
2014,RTH,351,1.0
2014,RTP,351,1.0
2014,RTR,351,1.0
2014,SAG,351,1.0
2014,SAP,0,0.0
2014,SAU,0,0.0
2014,SCR,0,0.0
2014,SE,351,1.0
2014,SEL,351,1.0
2014,SFX,351,1.0
2014,SIM,0,0.0
2014,SPW,351,1.0
2014,STH,351,1.0
2014,STR,0,0.0
2014,TBD,0,0.0
2014,TMR,351,1.0
2014,TRX,0,0.0
2014,TSR,0,0.0
2014,TW,351,1.0
2014,UCS,0,0.0
2014,USA,25,0.14925373134328357
2014,WIL,351,1.0
2014,WLK,351,1.0
2014,WOB,351,1.0
2014,WOL,351,1.0
2014,WTE,0,0.0
2015,7OT,351,1.0
2015,ACU,351,1.0
2015,ADE,0,0.0
2015,AP,25,0.22388059701492538
2015,ARG,0,0.0
2015,BBT,351,1.0
2015,BCM,0,0.0
2015,BD,0,0.0
2015,BIH,351,1.0
2015,BKM,0,0.0
2015,BNM,0,0.0
2015,BOB,351,1.0
2015,BPI,0,0.0
2015,BRZ,0,0.0
2015,BUR,351,1.0
2015,CJB,0,0.0
2015,CNG,351,1.0
2015,COL,351,1.0
2015,CPR,351,1.0
2015,CRO,351,1.0
2015,DC,351,1.0
2015,DC2,0,0.0
2015,DCI,351,1.0
2015,DES,25,0.2537313432835821
2015,DOK,351,1.0
2015,DOL,351,1.0
2015,DUN,351,1.0
2015,DWH,0,0.0
2015,EBB,0,0.0
2015,EBP,351,1.0
2015,ECK,0,0.0
2015,ENT,0,0.0
2015,ERD,0,0.0
2015,GRN,0,0.0
2015,GRS,0,0.0
2015,HAT,0,0.0
2015,HER,0,0.0
2015,HKB,351,1.0
2015,HOL,0,0.0
2015,IMS,0,0.0
2015,ISR,0,0.0
2015,JCI,0,0.0
2015,JEN,0,0.0
2015,JON,0,0.0
2015,KEL,0,0.0
2015,KLK,0,0.0
2015,KMV,0,0.0
2015,KOS,0,0.0
2015,KPK,351,1.0
2015,KRA,351,1.0
2015,LMC,351,1.0
2015,LYD,0,0.0
2015,LYN,0,0.0
2015,MAS,351,1.0
2015,MB,0,0.0
2015,MGY,0,0.0
2015,MKV,0,0.0
2015,MOR,351,1.0
2015,MSX,351,1.0
2015,NOL,351,1.0
2015,NOR,0,0.0
2015,OMY,0,0.0
2015,PEQ,0,0.0
2015,PGH,351,1.0
2015,PIG,351,1.0
2015,PKL,0,0.0
2015,POM,351,1.0
2015,PTS,0,0.0
2015,REI,0,0.0
2015,REN,0,0.0
2015,REW,351,1.0
2015,RIS,0,0.0
2015,RM,0,0.0
2015,ROG,0,0.0
2015,ROH,0,0.0
2015,RPI,351,1.0
2015,RSE,0,0.0
2015,RT,351,1.0
2015,RTB,0,0.0
2015,RTH,351,1.0
2015,RTP,351,1.0
2015,RTR,351,1.0
2015,SAG,351,1.0
2015,SAP,0,0.0
2015,SAU,0,0.0
2015,SCR,0,0.0
2015,SE,351,1.0
2015,SEL,351,1.0
2015,SFX,351,1.0
2015,SIM,0,0.0
2015,SPW,351,1.0
2015,STH,351,1.0
2015,STR,0,0.0
2015,TBD,0,0.0
2015,TMR,351,1.0
2015,TRX,0,0.0
2015,TSR,0,0.0
2015,TW,0,0.0
2015,UCS,0,0.0
2015,USA,25,0.23880597014925373
2015,WIL,351,1.0
2015,WLK,351,1.0
2015,WOB,351,1.0
2015,WOL,351,1.0
2015,WTE,0,0.0
2016,7OT,351,1.0
2016,ACU,351,1.0
2016,ADE,0,0.0
2016,AP,25,0.1791044776119403
2016,ARG,351,1.0
2016,BBT,351,1.0
2016,BCM,0,0.0
2016,BD,0,0.0
2016,BIH,351,1.0
2016,BKM,0,0.0
2016,BNM,0,0.0
2016,BOB,351,1.0
2016,BPI,0,0.0
2016,BRZ,0,0.0
2016,BUR,351,1.0
2016,CJB,0,0.0
2016,CNG,351,1.0
2016,COL,351,1.0
2016,CPR,351,1.0
2016,CRO,351,1.0
2016,DC,351,1.0
2016,DC2,0,0.0
2016,DCI,351,1.0
2016,DES,25,0.19402985074626866
2016,DOK,351,1.0
2016,DOL,351,1.0
2016,DUN,351,1.0
2016,DWH,0,0.0
2016,EBB,0,0.0
2016,EBP,351,1.0
2016,ECK,0,0.0
2016,ENT,0,0.0
2016,ERD,0,0.0
2016,GRN,0,0.0
2016,GRS,0,0.0
2016,HAT,0,0.0
2016,HER,0,0.0
2016,HKB,0,0.0
2016,HOL,0,0.0
2016,IMS,0,0.0
2016,ISR,0,0.0
2016,JCI,0,0.0
2016,JEN,0,0.0
2016,JON,0,0.0
2016,KEL,0,0.0
2016,KLK,0,0.0
2016,KMV,0,0.0
2016,KOS,0,0.0
2016,KPK,351,1.0
2016,KRA,351,1.0
2016,LMC,351,1.0
2016,LYD,0,0.0
2016,LYN,0,0.0
2016,MAS,351,1.0
2016,MB,0,0.0
2016,MGY,0,0.0
2016,MKV,0,0.0
2016,MOR,351,1.0
2016,MSX,351,1.0
2016,NOL,351,1.0
2016,NOR,0,0.0
2016,OMY,0,0.0
2016,PEQ,0,0.0
2016,PGH,351,1.0
2016,PIG,351,1.0
2016,PKL,0,0.0
2016,POM,351,1.0
2016,PTS,0,0.0
2016,REI,0,0.0
2016,REN,0,0.0
2016,REW,351,1.0
2016,RIS,0,0.0
2016,RM,0,0.0
2016,ROG,0,0.0
2016,ROH,0,0.0
2016,RPI,351,1.0
2016,RSE,0,0.0
2016,RT,351,1.0
2016,RTB,0,0.0
2016,RTH,351,1.0
2016,RTP,351,1.0
2016,RTR,351,1.0
2016,SAG,351,1.0
2016,SAP,0,0.0
2016,SAU,0,0.0
2016,SCR,0,0.0
2016,SE,0,0.0
2016,SEL,351,1.0
2016,SFX,351,1.0
2016,SIM,0,0.0
2016,SPW,351,1.0
2016,STH,351,1.0
2016,STR,0,0.0
2016,TBD,0,0.0
2016,TMR,0,0.0
2016,TRX,0,0.0
2016,TSR,0,0.0
2016,TW,351,1.0
2016,UCS,0,0.0
2016,USA,25,0.19402985074626866
2016,WIL,351,1.0
2016,WLK,351,1.0
2016,WOB,351,1.0
2016,WOL,351,1.0
2016,WTE,0,0.0
2017,7OT,351,1.0
2017,ACU,0,0.0
2017,ADE,351,1.0
2017,AP,25,0.23880597014925373
2017,ARG,351,1.0
2017,BBT,351,1.0
2017,BCM,0,0.0
2017,BD,0,0.0
2017,BIH,351,1.0
2017,BKM,0,0.0
2017,BNM,0,0.0
2017,BOB,0,0.0
2017,BPI,0,0.0
2017,BRZ,0,0.0
2017,BUR,351,1.0
2017,CJB,0,0.0
2017,CNG,351,1.0
2017,COL,351,1.0
2017,CPR,0,0.0
2017,CRO,351,1.0
2017,DC,351,1.0
2017,DC2,351,1.0
2017,DCI,351,1.0
2017,DES,25,0.23880597014925373
2017,DOK,351,1.0
2017,DOL,351,1.0
2017,DUN,351,1.0
2017,DWH,0,0.0
2017,EBB,0,0.0
2017,EBP,351,1.0
2017,ECK,0,0.0
2017,ENT,0,0.0
2017,ERD,0,0.0
2017,GRN,0,0.0
2017,GRS,0,0.0
2017,HAT,0,0.0
2017,HER,0,0.0
2017,HKB,0,0.0
2017,HOL,0,0.0
2017,IMS,0,0.0
2017,ISR,0,0.0
2017,JCI,0,0.0
2017,JEN,0,0.0
2017,JON,0,0.0
2017,KEL,0,0.0
2017,KLK,0,0.0
2017,KMV,0,0.0
2017,KOS,0,0.0
2017,KPK,351,1.0
2017,KRA,351,1.0
2017,LMC,351,1.0
2017,LYD,0,0.0
2017,LYN,0,0.0
2017,MAS,351,1.0
2017,MB,0,0.0
2017,MGY,0,0.0
2017,MKV,0,0.0
2017,MOR,351,1.0
2017,MSX,0,0.0
2017,NOL,351,1.0
2017,NOR,0,0.0
2017,OMY,0,0.0
2017,PEQ,0,0.0
2017,PGH,351,1.0
2017,PIG,351,1.0
2017,PKL,0,0.0
2017,POM,351,1.0
2017,PTS,0,0.0
2017,REI,0,0.0
2017,REN,0,0.0
2017,REW,351,1.0
2017,RIS,0,0.0
2017,RM,0,0.0
2017,ROG,0,0.0
2017,ROH,0,0.0
2017,RPI,351,1.0
2017,RSE,0,0.0
2017,RT,351,1.0
2017,RTB,0,0.0
2017,RTH,351,1.0
2017,RTP,351,1.0
2017,RTR,0,0.0
2017,SAG,351,1.0
2017,SAP,0,0.0
2017,SAU,0,0.0
2017,SCR,0,0.0
2017,SE,0,0.0
2017,SEL,351,1.0
2017,SFX,351,1.0
2017,SIM,0,0.0
2017,SPW,351,1.0
2017,STH,351,1.0
2017,STR,0,0.0
2017,TBD,0,0.0
2017,TMR,0,0.0
2017,TRX,0,0.0
2017,TSR,0,0.0
2017,TW,0,0.0
2017,UCS,0,0.0
2017,USA,25,0.2537313432835821
2017,WIL,351,1.0
2017,WLK,351,1.0
2017,WOB,351,1.0
2017,WOL,351,1.0
2017,WTE,0,0.0
2018,7OT,351,1.0
2018,ACU,0,0.0
2018,ADE,0,0.0
2018,AP,25,0.19402985074626866
2018,ARG,351,1.0
2018,BBT,351,1.0
2018,BCM,0,0.0
2018,BD,0,0.0
2018,BIH,0,0.0
2018,BKM,0,0.0
2018,BNM,0,0.0
2018,BOB,0,0.0
2018,BPI,0,0.0
2018,BRZ,0,0.0
2018,BUR,351,1.0
2018,CJB,0,0.0
2018,CNG,351,1.0
2018,COL,351,1.0
2018,CPR,0,0.0
2018,CRO,0,0.0
2018,DC,0,0.0
2018,DC2,351,1.0
2018,DCI,351,1.0
2018,DES,25,0.1791044776119403
2018,DOK,351,1.0
2018,DOL,351,1.0
2018,DUN,351,1.0
2018,DWH,0,0.0
2018,EBB,0,0.0
2018,EBP,351,1.0
2018,ECK,0,0.0
2018,ENT,0,0.0
2018,ERD,0,0.0
2018,GRN,0,0.0
2018,GRS,0,0.0
2018,HAT,0,0.0
2018,HER,0,0.0
2018,HKB,0,0.0
2018,HOL,0,0.0
2018,IMS,0,0.0
2018,ISR,0,0.0
2018,JCI,0,0.0
2018,JEN,0,0.0
2018,JON,0,0.0
2018,KEL,0,0.0
2018,KLK,0,0.0
2018,KMV,0,0.0
2018,KOS,0,0.0
2018,KPK,351,1.0
2018,KRA,351,1.0
2018,LMC,351,1.0
2018,LYD,0,0.0
2018,LYN,0,0.0
2018,MAS,351,1.0
2018,MB,0,0.0
2018,MGY,0,0.0
2018,MKV,0,0.0
2018,MOR,351,1.0
2018,MSX,0,0.0
2018,NOL,0,0.0
2018,NOR,0,0.0
2018,OMY,0,0.0
2018,PEQ,0,0.0
2018,PGH,351,1.0
2018,PIG,351,1.0
2018,PKL,0,0.0
2018,POM,351,1.0
2018,PTS,0,0.0
2018,REI,0,0.0
2018,REN,0,0.0
2018,REW,351,1.0
2018,RIS,0,0.0
2018,RM,0,0.0
2018,ROG,0,0.0
2018,ROH,0,0.0
2018,RPI,351,1.0
2018,RSE,0,0.0
2018,RT,350,1.0
2018,RTB,0,0.0
2018,RTH,351,1.0
2018,RTP,351,1.0
2018,RTR,0,0.0
2018,SAG,351,1.0
2018,SAP,0,0.0
2018,SAU,0,0.0
2018,SCR,0,0.0
2018,SE,0,0.0
2018,SEL,351,1.0
2018,SFX,351,1.0
2018,SIM,0,0.0
2018,SPW,0,0.0
2018,STH,351,1.0
2018,STR,0,0.0
2018,TBD,0,0.0
2018,TMR,0,0.0
2018,TRX,0,0.0
2018,TSR,0,0.0
2018,TW,0,0.0
2018,UCS,0,0.0
2018,USA,25,0.19402985074626866
2018,WIL,351,1.0
2018,WLK,351,1.0
2018,WOB,351,1.0
2018,WOL,351,1.0
2018,WTE,0,0.0
2019,7OT,353,1.0
2019,ACU,0,0.0
2019,ADE,0,0.0
2019,AP,25,0.2835820895522388
2019,ARG,353,1.0
2019,BBT,353,1.0
2019,BCM,0,0.0
2019,BD,0,0.0
2019,BIH,353,1.0
2019,BKM,0,0.0
2019,BNM,0,0.0
2019,BOB,0,0.0
2019,BPI,0,0.0
2019,BRZ,0,0.0
2019,BUR,353,1.0
2019,CJB,0,0.0
2019,CNG,353,1.0
2019,COL,353,1.0
2019,CPR,0,0.0
2019,CRO,0,0.0
2019,DC,0,0.0
2019,DC2,0,0.0
2019,DCI,353,1.0
2019,DES,25,0.2835820895522388
2019,DOK,353,1.0
2019,DOL,353,1.0
2019,DUN,353,1.0
2019,DWH,0,0.0
2019,EBB,0,0.0
2019,EBP,353,1.0
2019,ECK,0,0.0
2019,ENT,0,0.0
2019,ERD,0,0.0
2019,GRN,0,0.0
2019,GRS,0,0.0
2019,HAT,0,0.0
2019,HER,0,0.0
2019,HKB,0,0.0
2019,HOL,0,0.0
2019,IMS,0,0.0
2019,ISR,0,0.0
2019,JCI,0,0.0
2019,JEN,0,0.0
2019,JON,0,0.0
2019,KEL,0,0.0
2019,KLK,0,0.0
2019,KMV,0,0.0
2019,KOS,0,0.0
2019,KPK,353,1.0
2019,KRA,353,1.0
2019,LMC,353,1.0
2019,LYD,0,0.0
2019,LYN,0,0.0
2019,MAS,353,1.0
2019,MB,0,0.0
2019,MGY,0,0.0
2019,MKV,0,0.0
2019,MOR,353,1.0
2019,MSX,0,0.0
2019,NOL,0,0.0
2019,NOR,0,0.0
2019,OMY,0,0.0
2019,PEQ,0,0.0
2019,PGH,353,1.0
2019,PIG,353,1.0
2019,PKL,0,0.0
2019,POM,353,1.0
2019,PTS,0,0.0
2019,REI,0,0.0
2019,REN,0,0.0
2019,REW,353,1.0
2019,RIS,0,0.0
2019,RM,0,0.0
2019,ROG,0,0.0
2019,ROH,0,0.0
2019,RPI,0,0.0
2019,RSE,0,0.0
2019,RT,353,1.0
2019,RTB,0,0.0
2019,RTH,353,1.0
2019,RTP,353,1.0
2019,RTR,0,0.0
2019,SAG,353,1.0
2019,SAP,0,0.0
2019,SAU,0,0.0
2019,SCR,0,0.0
2019,SE,0,0.0
2019,SEL,0,0.0
2019,SFX,353,1.0
2019,SIM,0,0.0
2019,SPW,353,1.0
2019,STH,353,1.0
2019,STR,0,0.0
2019,TBD,0,0.0
2019,TMR,0,0.0
2019,TRX,0,0.0
2019,TSR,0,0.0
2019,TW,0,0.0
2019,UCS,0,0.0
2019,USA,25,0.2835820895522388
2019,WIL,353,1.0
2019,WLK,353,1.0
2019,WOB,353,1.0
2019,WOL,353,1.0
2019,WTE,0,0.0
2021,7OT,347,1.0
2021,ACU,0,0.0
2021,ADE,0,0.0
2021,AP,25,0.18181818181818182
2021,ARG,347,1.0
2021,BBT,347,1.0
2021,BCM,0,0.0
2021,BD,0,0.0
2021,BIH,347,1.0
2021,BKM,0,0.0
2021,BNM,0,0.0
2021,BOB,0,0.0
2021,BPI,0,0.0
2021,BRZ,0,0.0
2021,BUR,0,0.0
2021,CJB,0,0.0
2021,CNG,0,0.0
2021,COL,347,1.0
2021,CPR,0,0.0
2021,CRO,0,0.0
2021,DC,0,0.0
2021,DC2,0,0.0
2021,DCI,347,1.0
2021,DES,25,0.13636363636363635
2021,DOK,347,1.0
2021,DOL,347,1.0
2021,DUN,347,1.0
2021,DWH,0,0.0
2021,EBB,0,0.0
2021,EBP,347,1.0
2021,ECK,0,0.0
2021,ENT,0,0.0
2021,ERD,0,0.0
2021,GRN,0,0.0
2021,GRS,0,0.0
2021,HAT,0,0.0
2021,HER,0,0.0
2021,HKB,0,0.0
2021,HOL,0,0.0
2021,IMS,0,0.0
2021,ISR,0,0.0
2021,JCI,0,0.0
2021,JEN,0,0.0
2021,JON,0,0.0
2021,KEL,0,0.0
2021,KLK,0,0.0
2021,KMV,0,0.0
2021,KOS,0,0.0
2021,KPK,347,1.0
2021,KRA,347,1.0
2021,LMC,346,1.0
2021,LYD,0,0.0
2021,LYN,0,0.0
2021,MAS,347,1.0
2021,MB,0,0.0
2021,MGY,0,0.0
2021,MKV,0,0.0
2021,MOR,347,1.0
2021,MSX,0,0.0
2021,NOL,347,1.0
2021,NOR,0,0.0
2021,OMY,0,0.0
2021,PEQ,0,0.0
2021,PGH,347,1.0
2021,PIG,0,0.0
2021,PKL,0,0.0
2021,POM,347,1.0
2021,PTS,0,0.0
2021,REI,0,0.0
2021,REN,0,0.0
2021,REW,346,1.0
2021,RIS,0,0.0
2021,RM,0,0.0
2021,ROG,0,0.0
2021,ROH,0,0.0
2021,RPI,0,0.0
2021,RSE,0,0.0
2021,RT,345,1.0
2021,RTB,0,0.0
2021,RTH,0,0.0
2021,RTP,347,1.0
2021,RTR,0,0.0
2021,SAG,347,1.0
2021,SAP,0,0.0
2021,SAU,0,0.0
2021,SCR,0,0.0
2021,SE,0,0.0
2021,SEL,0,0.0
2021,SFX,347,1.0
2021,SIM,0,0.0
2021,SPW,0,0.0
2021,STH,0,0.0
2021,STR,0,0.0
2021,TBD,0,0.0
2021,TMR,0,0.0
2021,TRX,0,0.0
2021,TSR,0,0.0
2021,TW,0,0.0
2021,UCS,0,0.0
2021,USA,25,0.19696969696969696
2021,WIL,347,1.0
2021,WLK,347,1.0
2021,WOB,347,1.0
2021,WOL,0,0.0
2021,WTE,0,0.0
