RatingA,RatingB,SpearmanCorrelation,Gender
rating__margin_ridge_a5p0,rating__pagerank_margin,0.938692196050187,M
rating__margin_ridge_a25p0,rating__pagerank_margin,0.8999450066394225,M
rating__bt_c0p25,rating__pagerank_margin,0.8787346767410615,M
rating__bt_c1p0,rating__pagerank_margin,0.9303215307950222,M
rating__colley,rating__pagerank_margin,0.944964021333646,M
rating__pagerank_binary,rating__pagerank_margin,0.9915982440326,M
rating__pagerank_margin,rating__pagerank_margin,1.0,M
adj__net_rtg_a10p0,rating__pagerank_margin,0.9106317735450058,M
adj__net_rtg_a50p0,rating__pagerank_margin,0.8345911824263993,M
massey__strength_mean,rating__pagerank_margin,0.9558074510538375,M
rating__elo_standard,adj__net_rtg_a10p0,0.9414034851724868,M
rating__elo_mov_log,adj__net_rtg_a10p0,0.9683844555250245,M
rating__elo_mov_538,adj__net_rtg_a10p0,0.9680853995356082,M
rating__margin_ridge_a5p0,adj__net_rtg_a10p0,0.984648142057229,M
rating__margin_ridge_a25p0,adj__net_rtg_a10p0,0.9989516247249111,M
rating__bt_c0p25,adj__net_rtg_a10p0,0.9547599910473494,M
rating__bt_c1p0,adj__net_rtg_a10p0,0.9620713407870239,M
rating__colley,adj__net_rtg_a10p0,0.9547600743289799,M
rating__pagerank_binary,adj__net_rtg_a10p0,0.8998705770759527,M
rating__pagerank_margin,adj__net_rtg_a10p0,0.9106317735450058,M
adj__net_rtg_a10p0,adj__net_rtg_a10p0,1.0,M
adj__net_rtg_a50p0,adj__net_rtg_a10p0,0.9780904498190656,M
massey__strength_mean,adj__net_rtg_a10p0,0.9696962994478733,M
rating__elo_standard,adj__net_rtg_a50p0,0.9237757267080192,M
rating__elo_mov_log,adj__net_rtg_a50p0,0.9397647221177161,M
rating__elo_mov_538,adj__net_rtg_a50p0,0.9410460007957876,M
rating__margin_ridge_a5p0,adj__net_rtg_a50p0,0.9291966811299381,M
rating__margin_ridge_a25p0,adj__net_rtg_a50p0,0.9800786721018568,M
rating__bt_c0p25,adj__net_rtg_a50p0,0.9512988362557169,M
rating__bt_c1p0,adj__net_rtg_a50p0,0.9248642210157917,M
rating__colley,adj__net_rtg_a50p0,0.9027048265458838,M
rating__pagerank_binary,adj__net_rtg_a50p0,0.8238200104870975,M
rating__pagerank_margin,adj__net_rtg_a50p0,0.8345911824263993,M
adj__net_rtg_a10p0,adj__net_rtg_a50p0,0.9780904498190656,M
adj__net_rtg_a50p0,adj__net_rtg_a50p0,1.0,M
massey__strength_mean,adj__net_rtg_a50p0,0.9110558459987904,M
rating__elo_standard,massey__strength_mean,0.9425870026365973,M
rating__elo_mov_log,massey__strength_mean,0.97291066902399,M
rating__elo_mov_538,massey__strength_mean,0.9711771495622681,M
rating__margin_ridge_a5p0,massey__strength_mean,0.987965605631426,M
rating__margin_ridge_a25p0,massey__strength_mean,0.9666719869407681,M
rating__bt_c0p25,massey__strength_mean,0.9488517109606216,M
rating__bt_c1p0,massey__strength_mean,0.9837511433697697,M
rating__colley,massey__strength_mean,0.9910595158786852,M
rating__pagerank_binary,massey__strength_mean,0.952582739004734,M
rating__pagerank_margin,massey__strength_mean,0.9558074510538375,M
adj__net_rtg_a10p0,massey__strength_mean,0.9696962994478733,M
adj__net_rtg_a50p0,massey__strength_mean,0.9110558459987904,M
massey__strength_mean,massey__strength_mean,1.0,M
rating__elo_standard,rating__elo_standard,1.0,W
rating__elo_mov_log,rating__elo_standard,0.9828118881021716,W
rating__elo_mov_538,rating__elo_standard,0.9841486899725217,W
rating__margin_ridge_a5p0,rating__elo_standard,0.910868869194668,W
rating__margin_ridge_a25p0,rating__elo_standard,0.9409669074907744,W
rating__bt_c0p25,rating__elo_standard,0.9615464389854206,W
rating__bt_c1p0,rating__elo_standard,0.9479894410918202,W
rating__colley,rating__elo_standard,0.9424073847141085,W
rating__pagerank_binary,rating__elo_standard,0.8894480788528281,W
rating__pagerank_margin,rating__elo_standard,0.8907866289037052,W
adj__net_rtg_a10p0,rating__elo_standard,0.9463490605233319,W
adj__net_rtg_a50p0,rating__elo_standard,0.9319448290883965,W
rating__elo_standard,rating__elo_mov_log,0.9828118881021716,W
rating__elo_mov_log,rating__elo_mov_log,1.0,W
rating__elo_mov_538,rating__elo_mov_log,0.9998781954020995,W
rating__margin_ridge_a5p0,rating__elo_mov_log,0.9530241441275787,W
rating__margin_ridge_a25p0,rating__elo_mov_log,0.9696482987698274,W
rating__bt_c0p25,rating__elo_mov_log,0.9734060342330421,W
rating__bt_c1p0,rating__elo_mov_log,0.9731118194033527,W
rating__colley,rating__elo_mov_log,0.9698025307640272,W
rating__pagerank_binary,rating__elo_mov_log,0.9177613172916584,W
rating__pagerank_margin,rating__elo_mov_log,0.9228706593198029,W
adj__net_rtg_a10p0,rating__elo_mov_log,0.9724543573276176,W
adj__net_rtg_a50p0,rating__elo_mov_log,0.9464484997880038,W
rating__elo_standard,rating__elo_mov_538,0.9841486899725217,W
rating__elo_mov_log,rating__elo_mov_538,0.9998781954020995,W
rating__elo_mov_538,rating__elo_mov_538,1.0,W
rating__margin_ridge_a5p0,rating__elo_mov_538,0.951601538713262,W
rating__margin_ridge_a25p0,rating__elo_mov_538,0.9692083723447174,W
rating__bt_c0p25,rating__elo_mov_538,0.97339161301317,W
rating__bt_c1p0,rating__elo_mov_538,0.9721455244015289,W
rating__colley,rating__elo_mov_538,0.9688293453765684,W
rating__pagerank_binary,rating__elo_mov_538,0.9159434636049302,W
rating__pagerank_margin,rating__elo_mov_538,0.9211234557365021,W
adj__net_rtg_a10p0,rating__elo_mov_538,0.9718613335244378,W
adj__net_rtg_a50p0,rating__elo_mov_538,0.9469565058516016,W
rating__elo_standard,rating__margin_ridge_a5p0,0.910868869194668,W
rating__elo_mov_log,rating__margin_ridge_a5p0,0.9530241441275787,W
rating__elo_mov_538,rating__margin_ridge_a5p0,0.951601538713262,W
rating__margin_ridge_a5p0,rating__margin_ridge_a5p0,1.0,W
rating__margin_ridge_a25p0,rating__margin_ridge_a5p0,0.977792606735531,W
rating__bt_c0p25,rating__margin_ridge_a5p0,0.9329369183463448,W
rating__bt_c1p0,rating__margin_ridge_a5p0,0.9686816937725627,W
rating__colley,rating__margin_ridge_a5p0,0.9707350193949542,W
rating__pagerank_binary,rating__margin_ridge_a5p0,0.927898416201938,W
rating__pagerank_margin,rating__margin_ridge_a5p0,0.9345530380065985,W
adj__net_rtg_a10p0,rating__margin_ridge_a5p0,0.9825944432148335,W
adj__net_rtg_a50p0,rating__margin_ridge_a5p0,0.9227085451650415,W
rating__elo_standard,rating__margin_ridge_a25p0,0.9409669074907744,W
rating__elo_mov_log,rating__margin_ridge_a25p0,0.9696482987698274,W
rating__elo_mov_538,rating__margin_ridge_a25p0,0.9692083723447174,W
rating__margin_ridge_a5p0,rating__margin_ridge_a25p0,0.977792606735531,W
rating__margin_ridge_a25p0,rating__margin_ridge_a25p0,1.0,W
rating__bt_c0p25,rating__margin_ridge_a25p0,0.9656499297310683,W
rating__bt_c1p0,rating__margin_ridge_a25p0,0.967198332289422,W
rating__colley,rating__margin_ridge_a25p0,0.9615591169958324,W
rating__pagerank_binary,rating__margin_ridge_a25p0,0.9134377544734203,W
rating__pagerank_margin,rating__margin_ridge_a25p0,0.9227124954391984,W
adj__net_rtg_a10p0,rating__margin_ridge_a25p0,0.9989830915380788,W
adj__net_rtg_a50p0,rating__margin_ridge_a25p0,0.9790850640652342,W
rating__elo_standard,rating__bt_c0p25,0.9615464389854206,W
rating__elo_mov_log,rating__bt_c0p25,0.9734060342330421,W
rating__elo_mov_538,rating__bt_c0p25,0.97339161301317,W
rating__margin_ridge_a5p0,rating__bt_c0p25,0.9329369183463448,W
rating__margin_ridge_a25p0,rating__bt_c0p25,0.9656499297310683,W
rating__bt_c0p25,rating__bt_c0p25,1.0,W
rating__bt_c1p0,rating__bt_c0p25,0.9848510718710818,W
rating__colley,rating__bt_c0p25,0.9776548962027521,W
rating__pagerank_binary,rating__bt_c0p25,0.9195561584020449,W
rating__pagerank_margin,rating__bt_c0p25,0.9175330689440261,W
adj__net_rtg_a10p0,rating__bt_c0p25,0.9654231621138218,W
adj__net_rtg_a50p0,rating__bt_c0p25,0.9593906101925501,W
rating__elo_standard,rating__bt_c1p0,0.9479894410918202,W
rating__elo_mov_log,rating__bt_c1p0,0.9731118194033527,W
rating__elo_mov_538,rating__bt_c1p0,0.9721455244015289,W
rating__margin_ridge_a5p0,rating__bt_c1p0,0.9686816937725627,W
rating__margin_ridge_a25p0,rating__bt_c1p0,0.967198332289422,W
rating__bt_c0p25,rating__bt_c1p0,0.9848510718710818,W
rating__bt_c1p0,rating__bt_c1p0,1.0,W
rating__colley,rating__bt_c1p0,0.9971378353133653,W
rating__pagerank_binary,rating__bt_c1p0,0.9471416224241153,W
rating__pagerank_margin,rating__bt_c1p0,0.9436221943612902,W
adj__net_rtg_a10p0,rating__bt_c1p0,0.9704519726620963,W
adj__net_rtg_a50p0,rating__bt_c1p0,0.9305299636430635,W
rating__elo_standard,rating__colley,0.9424073847141085,W
rating__elo_mov_log,rating__colley,0.9698025307640272,W
rating__elo_mov_538,rating__colley,0.9688293453765684,W
rating__margin_ridge_a5p0,rating__colley,0.9707350193949542,W
rating__margin_ridge_a25p0,rating__colley,0.9615591169958324,W
rating__bt_c0p25,rating__colley,0.9776548962027521,W
rating__bt_c1p0,rating__colley,0.9971378353133653,W
rating__colley,rating__colley,1.0,W
rating__pagerank_binary,rating__colley,0.9465883018365713,W
rating__pagerank_margin,rating__colley,0.9432200432542086,W
adj__net_rtg_a10p0,rating__colley,0.9659921350724464,W
adj__net_rtg_a50p0,rating__colley,0.9204740189535844,W
rating__elo_standard,rating__pagerank_binary,0.8894480788528281,W
rating__elo_mov_log,rating__pagerank_binary,0.9177613172916584,W
rating__elo_mov_538,rating__pagerank_binary,0.9159434636049302,W
rating__margin_ridge_a5p0,rating__pagerank_binary,0.927898416201938,W
rating__margin_ridge_a25p0,rating__pagerank_binary,0.9134377544734203,W
rating__bt_c0p25,rating__pagerank_binary,0.9195561584020449,W
rating__bt_c1p0,rating__pagerank_binary,0.9471416224241153,W
rating__colley,rating__pagerank_binary,0.9465883018365713,W
rating__pagerank_binary,rating__pagerank_binary,1.0,W
rating__pagerank_margin,rating__pagerank_binary,0.9915921376832213,W
adj__net_rtg_a10p0,rating__pagerank_binary,0.9144786351490344,W
adj__net_rtg_a50p0,rating__pagerank_binary,0.8601717868442889,W
rating__elo_standard,rating__pagerank_margin,0.8907866289037052,W
rating__elo_mov_log,rating__pagerank_margin,0.9228706593198029,W
rating__elo_mov_538,rating__pagerank_margin,0.9211234557365021,W
rating__margin_ridge_a5p0,rating__pagerank_margin,0.9345530380065985,W
rating__margin_ridge_a25p0,rating__pagerank_margin,0.9227124954391984,W
rating__bt_c0p25,rating__pagerank_margin,0.9175330689440261,W
rating__bt_c1p0,rating__pagerank_margin,0.9436221943612902,W
rating__colley,rating__pagerank_margin,0.9432200432542086,W
rating__pagerank_binary,rating__pagerank_margin,0.9915921376832213,W
rating__pagerank_margin,rating__pagerank_margin,1.0,W
adj__net_rtg_a10p0,rating__pagerank_margin,0.9229496779368384,W
adj__net_rtg_a50p0,rating__pagerank_margin,0.870797522180645,W
rating__elo_standard,adj__net_rtg_a10p0,0.9463490605233319,W
rating__elo_mov_log,adj__net_rtg_a10p0,0.9724543573276176,W
rating__elo_mov_538,adj__net_rtg_a10p0,0.9718613335244378,W
rating__margin_ridge_a5p0,adj__net_rtg_a10p0,0.9825944432148335,W
rating__margin_ridge_a25p0,adj__net_rtg_a10p0,0.9989830915380788,W
rating__bt_c0p25,adj__net_rtg_a10p0,0.9654231621138218,W
rating__bt_c1p0,adj__net_rtg_a10p0,0.9704519726620963,W
rating__colley,adj__net_rtg_a10p0,0.9659921350724464,W
rating__pagerank_binary,adj__net_rtg_a10p0,0.9144786351490344,W
rating__pagerank_margin,adj__net_rtg_a10p0,0.9229496779368384,W
adj__net_rtg_a10p0,adj__net_rtg_a10p0,1.0,W
adj__net_rtg_a50p0,adj__net_rtg_a10p0,0.9764838807326123,W
rating__elo_standard,adj__net_rtg_a50p0,0.9319448290883965,W
rating__elo_mov_log,adj__net_rtg_a50p0,0.9464484997880038,W
rating__elo_mov_538,adj__net_rtg_a50p0,0.9469565058516016,W
rating__margin_ridge_a5p0,adj__net_rtg_a50p0,0.9227085451650415,W
rating__margin_ridge_a25p0,adj__net_rtg_a50p0,0.9790850640652342,W
rating__bt_c0p25,adj__net_rtg_a50p0,0.9593906101925501,W
rating__bt_c1p0,adj__net_rtg_a50p0,0.9305299636430635,W
rating__colley,adj__net_rtg_a50p0,0.9204740189535844,W
rating__pagerank_binary,adj__net_rtg_a50p0,0.8601717868442889,W
rating__pagerank_margin,adj__net_rtg_a50p0,0.870797522180645,W
adj__net_rtg_a10p0,adj__net_rtg_a50p0,0.9764838807326123,W
adj__net_rtg_a50p0,adj__net_rtg_a50p0,1.0,W
