Feature,ExpectedBehavior,ComparableRows,MaxAbsoluteError,Passed
diff__detailed__ewm_h20__oppefg,antisymmetric,253,0.0,True
diff__detailed__ewm_h20__tovpct,antisymmetric,253,0.0,True
diff__detailed__ewm_h20__orbpct,antisymmetric,253,0.0,True
diff__detailed__ewm_h20__ftrate,antisymmetric,253,0.0,True
diff__detailed__ewm_h20__fg3attemptrate,antisymmetric,253,0.0,True
diff__detailed__ewm_h20__fourfactoredge,antisymmetric,253,0.0,True
diff__detailed__away__games,antisymmetric,253,0.0,True
diff__detailed__away__off_rtg_mean,antisymmetric,253,0.0,True
diff__detailed__away__def_rtg_mean,antisymmetric,253,0.0,True
diff__detailed__away__net_rtg_mean,antisymmetric,253,0.0,True
diff__detailed__away__pace_mean,antisymmetric,253,0.0,True
diff__detailed__neutral__games,antisymmetric,245,0.0,True
diff__detailed__neutral__off_rtg_mean,antisymmetric,245,0.0,True
diff__detailed__neutral__def_rtg_mean,antisymmetric,245,0.0,True
diff__detailed__neutral__net_rtg_mean,antisymmetric,245,0.0,True
diff__detailed__neutral__pace_mean,antisymmetric,245,0.0,True
diff__detailed__home__games,antisymmetric,252,0.0,True
diff__detailed__home__off_rtg_mean,antisymmetric,252,0.0,True
diff__detailed__home__def_rtg_mean,antisymmetric,252,0.0,True
diff__detailed__home__net_rtg_mean,antisymmetric,252,0.0,True
diff__detailed__home__pace_mean,antisymmetric,252,0.0,True
diff__detailed__poss0p475__off_rtg_mean,antisymmetric,253,0.0,True
diff__detailed__poss0p475__def_rtg_mean,antisymmetric,253,0.0,True
diff__detailed__poss0p475__net_rtg_mean,antisymmetric,253,0.0,True
diff__detailed__poss0p44__off_rtg_mean,antisymmetric,253,0.0,True
diff__detailed__poss0p44__def_rtg_mean,antisymmetric,253,0.0,True
diff__detailed__poss0p44__net_rtg_mean,antisymmetric,253,0.0,True
