SystemName,DevelopmentSeasons,DevelopmentTeamSeasonRows,MedianTeamsPerSeason,LastDevelopmentSeason,SelectedStableSystem
D1A,5,423,84.0,2017,False
MSX,5,1744,351.0,2016,False
ACU,5,1071,351.0,2016,False
TMR,5,1739,347.0,2015,False
BPI,5,1730,347.0,2013,False
JEN,5,1713,345.0,2013,False
ECK,5,1658,330.0,2008,False
DWH,5,1650,330.0,2007,False
WMV,4,1414,353.0,2021,False
JJK,4,1400,353.0,2021,False
ESR,4,1408,353.0,2020,False
SGR,4,1408,353.0,2020,False
SMN,4,1408,353.0,2020,False
PTS,4,1387,347.0,2014,False
OMY,4,1378,345.0,2013,False
ISR,4,1367,343.0,2010,False
STR,4,1356,343.0,2010,False
SCR,4,1341,336.0,2008,False
LEF,3,1063,353.0,2021,False
INC,3,1054,353.0,2021,False
NET,3,1053,353.0,2021,False
PIR,3,1053,353.0,2021,False
MMG,3,1057,353.0,2020,False
BNT,3,810,351.0,2020,False
FMG,3,1055,351.0,2019,False
YAG,3,1055,351.0,2019,False
ZAM,3,1055,351.0,2019,False
WMR,3,1053,351.0,2016,False
KBM,3,1049,351.0,2015,False
CJB,3,1042,347.0,2014,False
GRS,3,1004,327.0,2014,False
KOS,3,1037,345.0,2013,False
MKV,3,1000,327.0,2010,False
SAU,3,1000,327.0,2010,False
TRX,3,175,57.0,2010,False
UCS,3,1021,341.0,2009,False
LYD,3,1018,341.0,2009,False
REN,3,1000,334.0,2007,False
ROH,3,1000,334.0,2007,False
SAP,3,1000,334.0,2007,False
ENT,3,983,327.0,2005,False
HER,3,983,327.0,2005,False
BNZ,2,710,357.0,2021,False
KCX,2,700,353.0,2021,False
LAW,2,700,353.0,2021,False
RWP,2,700,353.0,2021,False
AWS,2,706,353.0,2020,False
MGS,2,706,353.0,2020,False
STM,2,704,353.0,2019,False
DDB,2,702,351.0,2018,False
PRR,2,702,351.0,2018,False
MCL,2,702,351.0,2017,False
MvG,2,702,351.0,2015,False
STF,2,702,351.0,2015,False
MPI,2,700,351.0,2015,False
STS,2,698,351.0,2015,False
ROG,2,690,345.0,2012,False
EBB,2,688,345.0,2012,False
KMV,2,692,347.0,2011,False
IMS,2,669,342.0,2008,False
JCI,2,670,336.0,2007,False
PKL,2,670,336.0,2007,False
RIS,2,663,333.0,2006,False
BCM,2,660,330.0,2006,False
BD,2,656,330.0,2005,False
RAG,2,656,330.0,2005,False
HOL,2,653,327.0,2004,False
CWL,1,357,357.0,2021,False
EMK,1,355,355.0,2021,False
FDM,1,352,352.0,2021,False
CBR,1,347,347.0,2021,False
SRS,1,347,347.0,2021,False
DP,1,353,353.0,2020,False
TS,1,353,353.0,2020,False
WLS,1,353,353.0,2019,False
COX,1,351,351.0,2018,False
LAB,1,351,351.0,2018,False
CRW,1,351,351.0,2017,False
HKS,1,351,351.0,2017,False
JRT,1,351,351.0,2017,False
MUZ,1,351,351.0,2017,False
OCT,1,351,351.0,2017,False
PMC,1,351,351.0,2017,False
RSL,1,351,351.0,2017,False
INP,1,347,347.0,2017,False
BOW,1,351,351.0,2016,False
CTL,1,351,351.0,2016,False
HRN,1,351,351.0,2016,False
PPR,1,351,351.0,2014,False
UPS,1,345,345.0,2014,False
BNM,1,345,345.0,2012,False
HAT,1,345,345.0,2012,False
TBD,1,344,344.0,2012,False
AUS,1,345,345.0,2011,False
BP5,1,345,345.0,2011,False
PEQ,1,345,345.0,2011,False
KEL,1,347,347.0,2010,False
TOL,1,347,347.0,2009,False
BKM,1,341,341.0,2008,False
RSE,1,341,341.0,2008,False
PH,1,326,326.0,2006,False
CMV,1,330,330.0,2005,False
JON,1,326,326.0,2004,False
MGY,1,326,326.0,2004,False
NOR,1,326,326.0,2004,False
RM,1,326,326.0,2004,False
BRZ,1,327,327.0,2003,False
ERD,1,327,327.0,2003,False
WTE,1,327,327.0,2003,False
GC,1,325,325.0,2003,False
MIC,1,324,324.0,2003,False
