Population,DatasetRole,Gender,FeatureRoute,Block,Features,MeanMissingRate,MedianMissingRate,MaxMissingRate
historical_tournament_matchups,locked_benchmark,M,seed_aware,matchup_context,9,0.0,0.0,0.0
historical_tournament_matchups,locked_benchmark,M,seed_aware,matchup_interactions,10,0.0,0.0,0.0
historical_tournament_matchups,locked_benchmark,M,seed_aware,opponent_adjusted_efficiency,20,0.0,0.0,0.0
historical_tournament_matchups,locked_benchmark,M,seed_aware,prequential_seed_priors,13,0.01148105625717566,0.0,0.07462686567164178
historical_tournament_matchups,locked_benchmark,M,seed_aware,prior_coach_history,21,0.028073916133617628,0.0,0.2947761194029851
historical_tournament_matchups,locked_benchmark,M,seed_aware,prior_program_history,17,0.006145741878841088,0.0,0.05223880597014925
historical_tournament_matchups,locked_benchmark,M,seed_aware,schedule_and_accomplishment,35,0.0,0.0,0.0
historical_tournament_matchups,locked_benchmark,M,seed_aware,selection_committee_prior,7,0.0,0.0,0.0
historical_tournament_matchups,locked_benchmark,M,seed_aware,within_season_normalization,70,0.0,0.0,0.0
historical_tournament_matchups,locked_benchmark,W,seed_aware,availability_and_context,9,0.1111111111111111,0.0,1.0
historical_tournament_matchups,locked_benchmark,W,seed_aware,compact_performance,195,0.005319556065824723,0.0,0.16791044776119404
historical_tournament_matchups,locked_benchmark,W,seed_aware,conference_context,15,0.0,0.0,0.0
historical_tournament_matchups,locked_benchmark,W,seed_aware,detailed_efficiency,478,0.0010304127896084432,0.0,0.04477611940298507
historical_tournament_matchups,locked_benchmark,W,seed_aware,dynamic_ratings,40,0.0,0.0,0.0
historical_tournament_matchups,locked_benchmark,W,seed_aware,geography_and_schedule_dispersion,10,0.0,0.0,0.0
historical_tournament_matchups,locked_benchmark,W,seed_aware,global_strength_ratings,42,0.0,0.0,0.0
historical_tournament_matchups,locked_benchmark,W,seed_aware,massey_consensus,79,1.0,1.0,1.0
historical_tournament_matchups,locked_benchmark,W,seed_aware,matchup_context,9,0.0,0.0,0.0
historical_tournament_matchups,locked_benchmark,W,seed_aware,matchup_interactions,10,0.0,0.0,0.0
historical_tournament_matchups,locked_benchmark,W,seed_aware,opponent_adjusted_efficiency,20,0.0,0.0,0.0
historical_tournament_matchups,locked_benchmark,W,seed_aware,prequential_seed_priors,13,0.010907003444316877,0.0,0.0708955223880597
historical_tournament_matchups,locked_benchmark,W,seed_aware,prior_coach_history,21,1.0,1.0,1.0
historical_tournament_matchups,locked_benchmark,W,seed_aware,prior_program_history,17,0.010974539069359088,0.0,0.09328358208955224
historical_tournament_matchups,locked_benchmark,W,seed_aware,schedule_and_accomplishment,35,0.0,0.0,0.0
historical_tournament_matchups,locked_benchmark,W,seed_aware,selection_committee_prior,7,0.0,0.0,0.0
historical_tournament_matchups,locked_benchmark,W,seed_aware,within_season_normalization,70,0.05714285714285714,0.0,1.0
stage2_matchups,,M,seed_aware,availability_and_context,9,0.0,0.0,0.0
stage2_matchups,,M,seed_aware,compact_performance,195,0.00269467143918417,0.0,0.058384547848990345
stage2_matchups,,M,seed_aware,conference_context,15,0.0,0.0,0.0
stage2_matchups,,M,seed_aware,detailed_efficiency,478,0.001343577460960029,0.0,0.058384547848990345
stage2_matchups,,M,seed_aware,dynamic_ratings,40,0.0,0.0,0.0
stage2_matchups,,M,seed_aware,geography_and_schedule_dispersion,10,0.0,0.0,0.0
stage2_matchups,,M,seed_aware,global_strength_ratings,42,0.0,0.0,0.0
stage2_matchups,,M,seed_aware,massey_consensus,79,0.15538835976483925,0.0,1.0
stage2_matchups,,M,seed_aware,matchup_context,9,0.0,0.0,0.0
stage2_matchups,,M,seed_aware,matchup_interactions,10,0.0,0.0,0.0
stage2_matchups,,M,seed_aware,opponent_adjusted_efficiency,20,0.0,0.0,0.0
stage2_matchups,,M,seed_aware,prequential_seed_priors,13,0.007699061254811914,0.0,0.05004389815627744
stage2_matchups,,M,seed_aware,prior_coach_history,21,0.03980099502487562,0.0,0.417910447761194
stage2_matchups,,M,seed_aware,prior_program_history,17,0.006868770335175335,0.0,0.058384547848990345
stage2_matchups,,M,seed_aware,schedule_and_accomplishment,35,0.0,0.0,0.0
stage2_matchups,,M,seed_aware,selection_committee_prior,7,0.0,0.0,0.0
stage2_matchups,,M,seed_aware,within_season_normalization,70,0.0,0.0,0.0
stage2_matchups,,M,seed_free_fallback,availability_and_context,9,0.0,0.0,0.0
stage2_matchups,,M,seed_free_fallback,compact_performance,195,0.012619707681436075,0.0,0.3436213991769547
stage2_matchups,,M,seed_free_fallback,conference_context,15,0.08594691773704119,0.0,0.18417196657937399
stage2_matchups,,M,seed_free_fallback,detailed_efficiency,478,0.003472760300979734,0.0,0.1509072203516648
stage2_matchups,,M,seed_free_fallback,dynamic_ratings,40,0.0,0.0,0.0
stage2_matchups,,M,seed_free_fallback,geography_and_schedule_dispersion,10,0.0,0.0,0.0
stage2_matchups,,M,seed_free_fallback,global_strength_ratings,42,0.0,0.0,0.0
stage2_matchups,,M,seed_free_fallback,massey_consensus,79,0.17716191450368665,0.0,1.0
stage2_matchups,,M,seed_free_fallback,matchup_context,9,0.40946502057613166,0.0,1.0
stage2_matchups,,M,seed_free_fallback,matchup_interactions,10,0.0,0.0,0.0
stage2_matchups,,M,seed_free_fallback,opponent_adjusted_efficiency,20,0.0,0.0,0.0
stage2_matchups,,M,seed_free_fallback,prequential_seed_priors,13,0.15384615384615385,0.0,1.0
stage2_matchups,,M,seed_free_fallback,prior_coach_history,21,0.07486238041793597,0.0,0.7860549943883277
stage2_matchups,,M,seed_free_fallback,prior_program_history,17,0.03260821724874013,0.0,0.27716984661429106
stage2_matchups,,M,seed_free_fallback,schedule_and_accomplishment,35,0.0,0.0,0.0
stage2_matchups,,M,seed_free_fallback,selection_committee_prior,7,0.7142857142857143,1.0,1.0
stage2_matchups,,M,seed_free_fallback,within_season_normalization,70,0.0,0.0,0.0
stage2_matchups,,W,seed_aware,availability_and_context,9,0.1111111111111111,0.0,1.0
stage2_matchups,,W,seed_aware,compact_performance,195,0.00329348731455843,0.0,0.058384547848990345
stage2_matchups,,W,seed_aware,conference_context,15,0.0,0.0,0.0
stage2_matchups,,W,seed_aware,detailed_efficiency,478,0.001343577460960029,0.0,0.058384547848990345
stage2_matchups,,W,seed_aware,dynamic_ratings,40,0.0,0.0,0.0
stage2_matchups,,W,seed_aware,geography_and_schedule_dispersion,10,0.0,0.0,0.0
stage2_matchups,,W,seed_aware,global_strength_ratings,42,0.0,0.0,0.0
stage2_matchups,,W,seed_aware,massey_consensus,79,1.0,1.0,1.0
stage2_matchups,,W,seed_aware,matchup_context,9,0.0,0.0,0.0
stage2_matchups,,W,seed_aware,matchup_interactions,10,0.0,0.0,0.0
stage2_matchups,,W,seed_aware,opponent_adjusted_efficiency,20,0.0,0.0,0.0
stage2_matchups,,W,seed_aware,prequential_seed_priors,13,0.0076315256297697035,0.0,0.04960491659350307
stage2_matchups,,W,seed_aware,prior_coach_history,21,1.0,1.0,1.0
stage2_matchups,,W,seed_aware,prior_program_history,17,0.006868770335175335,0.0,0.058384547848990345
stage2_matchups,,W,seed_aware,schedule_and_accomplishment,35,0.0,0.0,0.0
stage2_matchups,,W,seed_aware,selection_committee_prior,7,0.0,0.0,0.0
stage2_matchups,,W,seed_aware,within_season_normalization,70,0.05714285714285714,0.0,1.0
stage2_matchups,,W,seed_free_fallback,availability_and_context,9,0.1111111111111111,0.0,1.0
stage2_matchups,,W,seed_free_fallback,compact_performance,195,0.01843477557785796,0.0,0.49474182104848247
stage2_matchups,,W,seed_free_fallback,conference_context,15,0.09125108395743003,0.0,0.19553803705163578
stage2_matchups,,W,seed_free_fallback,detailed_efficiency,478,0.005155827642110159,0.0,0.22404414662987782
stage2_matchups,,W,seed_free_fallback,dynamic_ratings,40,0.0,0.0,0.0
stage2_matchups,,W,seed_free_fallback,geography_and_schedule_dispersion,10,0.0,0.0,0.0
stage2_matchups,,W,seed_free_fallback,global_strength_ratings,42,0.0,0.0,0.0
stage2_matchups,,W,seed_free_fallback,massey_consensus,79,1.0,1.0,1.0
stage2_matchups,,W,seed_free_fallback,matchup_context,9,0.40930232558139534,0.0,1.0
stage2_matchups,,W,seed_free_fallback,matchup_interactions,10,0.0,0.0,0.0
stage2_matchups,,W,seed_free_fallback,opponent_adjusted_efficiency,20,0.0,0.0,0.0
stage2_matchups,,W,seed_free_fallback,prequential_seed_priors,13,0.15384615384615385,0.0,1.0
stage2_matchups,,W,seed_free_fallback,prior_coach_history,21,1.0,1.0,1.0
stage2_matchups,,W,seed_free_fallback,prior_program_history,17,0.04813281086971643,0.0,0.40912889239258965
stage2_matchups,,W,seed_free_fallback,schedule_and_accomplishment,35,0.0,0.0,0.0
stage2_matchups,,W,seed_free_fallback,selection_committee_prior,7,0.7142857142857143,1.0,1.0
stage2_matchups,,W,seed_free_fallback,within_season_normalization,70,0.05714285714285714,0.0,1.0
